instance by feature,theta
500105-0-0,3.1546951888124246
6001051-1-0,3.7201526655698243
6001051-2-1,5.4542472673518905
6001051-3-2,7.186834619648017
6001051-4-3,10.013455188412928
500105-5-1,2.7610929556084716
500105-6-2,1.554602711224759
6001051-7-4,3.4856678541041908
6001051-8-5,5.888414109117531
6001051-9-6,5.684762481019923
6001051-10-7,4.64318087448777
500105-11-3,3.3236749724618724
500105-12-4,3.6188631919841874
6001051-13-8,5.028595252682222
6001051-14-9,5.592760719225148
6001051-15-10,6.008683952981956
6001051-16-11,4.565295439957242
500105-17-5,4.117638498925195
500105-18-6,4.107755414058841
6001051-19-12,5.487350689266705
6001051-20-13,6.225459604480229
6001051-21-14,5.313930222077966
6001051-22-15,5.013086827923056
500105-23-7,6.740447746413694
500105-24-8,1.5604732170312023
6001051-25-16,4.285813889978823
6001051-26-17,5.130068338234773
6001051-27-18,6.986523749665857
6001051-28-19,3.585039399704559
500105-29-9,2.7327790251694575
500105-30-10,1.6533587606041305
6001051-31-20,4.395988384950931
6001051-32-21,8.115432160410476
6001051-33-22,5.903118164844775
6001051-34-23,5.578172425439597
500105-35-11,0.8304580763833761
500105-36-12,3.6837710033834594
6001051-37-24,4.428115549220033
6001051-38-25,4.453136356995088
6001051-39-26,7.376273712669402
6001051-40-27,5.719165821954252
500105-41-13,2.9908804887564715
500105-42-14,4.239305595170642
6001051-43-28,4.264407904519459
6001051-44-29,5.562017047527933
6001051-45-30,2.644215467136141
6001051-46-31,6.948702386090323
500105-47-15,5.125856692154373
500105-48-16,5.22227871640424
6001051-49-32,4.295734007484354
6001051-50-33,7.503268057263104
6001051-51-34,4.05593385352957
6001051-52-35,3.9288278550247884
500105-53-17,6.76469621443107
